Species,English name,Family,Species_qts
Abbottina rivularis,Chinese false gudgeon,Gobionidae,"""Abbottina rivularis"""
Ablennes hians,Flat needlefish,Belonidae,"""Ablennes hians"""
Abramis brama,Freshwater bream,Leuciscidae,"""Abramis brama"""
Abudefduf vaigiensis,Indo-Pacific sergeant,Pomacentridae,"""Abudefduf vaigiensis"""
Abyssocottus korotneffi,Small-eyed sculpin,Cottidae,"""Abyssocottus korotneffi"""
Acanthobrama marmid,Tigris bream,Leuciscidae,"""Acanthobrama marmid"""
Acanthobrama microlepis,Blackbrow bleak,Leuciscidae,"""Acanthobrama microlepis"""
Acanthobrama urmianus,Urmia Lake chub,Leuciscidae,"""Acanthobrama urmianus"""
Acanthochaenus luetkenii,Pricklefish,Stephanoberycidae,"""Acanthochaenus luetkenii"""
Acanthochromis polyacanthus,Spiny chromis,Pomacentridae,"""Acanthochromis polyacanthus"""
Acanthoclinus littoreus,,Plesiopidae,"""Acanthoclinus littoreus"""
Acanthocobitis mooreh,,Nemacheilidae,"""Acanthocobitis mooreh"""
Acanthocybium solandri,Wahoo,Scombridae,"""Acanthocybium solandri"""
Acanthogobius flavimanus,Yellowfin goby,Gobiidae,"""Acanthogobius flavimanus"""
Acanthopagrus arabicus,Arabian yellowfin seabream,Sparidae,"""Acanthopagrus arabicus"""
Acanthopagrus australis,Yellowfin bream,Sparidae,"""Acanthopagrus australis"""
Acanthopagrus berda,Goldsilk seabream,Sparidae,"""Acanthopagrus berda"""
Acanthopagrus bifasciatus,Twobar seabream,Sparidae,"""Acanthopagrus bifasciatus"""
Acanthopagrus butcheri,Black bream,Sparidae,"""Acanthopagrus butcheri"""
Acanthopagrus latus,Yellowfin seabream,Sparidae,"""Acanthopagrus latus"""
Acanthopagrus schlegelii,Blackhead seabream,Sparidae,"""Acanthopagrus schlegelii"""
Acanthurus auranticavus,Orange-socket surgeonfish,Acanthuridae,"""Acanthurus auranticavus"""
Acanthurus bahianus,Barber surgeonfish,Acanthuridae,"""Acanthurus bahianus"""
Acanthurus blochii,Ringtail surgeonfish,Acanthuridae,"""Acanthurus blochii"""
Acanthurus chirurgus,Doctorfish,Acanthuridae,"""Acanthurus chirurgus"""
Acanthurus coeruleus,Blue tang surgeonfish,Acanthuridae,"""Acanthurus coeruleus"""
Acanthurus dussumieri,Eyestripe surgeonfish,Acanthuridae,"""Acanthurus dussumieri"""
Acanthurus leucosternon,Powderblue surgeonfish,Acanthuridae,"""Acanthurus leucosternon"""
Acanthurus lineatus,Lined surgeonfish,Acanthuridae,"""Acanthurus lineatus"""
Acanthurus mata,Elongate surgeonfish,Acanthuridae,"""Acanthurus mata"""
Acanthurus nigricans,Whitecheek surgeonfish,Acanthuridae,"""Acanthurus nigricans"""
Acanthurus nigricauda,Epaulette surgeonfish,Acanthuridae,"""Acanthurus nigricauda"""
Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,"""Acanthurus nigrofuscus"""
Acanthurus olivaceus,Orangespot surgeonfish,Acanthuridae,"""Acanthurus olivaceus"""
Acanthurus pyroferus,Chocolate surgeonfish,Acanthuridae,"""Acanthurus pyroferus"""
Acanthurus tractus,Ocean surgeonfish,Acanthuridae,"""Acanthurus tractus"""
Acanthurus triostegus,Convict surgeonfish,Acanthuridae,"""Acanthurus triostegus"""
Acanthurus xanthopterus,Yellowfin surgeonfish,Acanthuridae,"""Acanthurus xanthopterus"""
Acentrogobius pflaumii,Striped sandgoby,Gobiidae,"""Acentrogobius pflaumii"""
Acentrogobius viridipunctatus,Spotted green goby,Gobiidae,"""Acentrogobius viridipunctatus"""
Acestrorhynchus lacustris,,Acestrorhynchidae,"""Acestrorhynchus lacustris"""
Achirus mazatlanus,Mazatlan sole,Achiridae,"""Achirus mazatlanus"""
Achoerodus gouldii,Western blue groper,Labridae,"""Achoerodus gouldii"""
Achondrostoma arcasii,,Leuciscidae,"""Achondrostoma arcasii"""
Acipenser baerii,Siberian sturgeon,Acipenseridae,"""Acipenser baerii"""
Acipenser brevirostrum,Shortnose sturgeon,Acipenseridae,"""Acipenser brevirostrum"""
Acipenser dabryanus,Yangtze sturgeon,Acipenseridae,"""Acipenser dabryanus"""
Acipenser fulvescens,Lake sturgeon,Acipenseridae,"""Acipenser fulvescens"""
Acipenser gueldenstaedtii,Danube sturgeon,Acipenseridae,"""Acipenser gueldenstaedtii"""
Acipenser medirostris,Green sturgeon,Acipenseridae,"""Acipenser medirostris"""
Acipenser nudiventris,Fringebarbel sturgeon,Acipenseridae,"""Acipenser nudiventris"""
Acipenser oxyrinchus,Atlantic sturgeon,Acipenseridae,"""Acipenser oxyrinchus"""
Acipenser persicus,Persian sturgeon,Acipenseridae,"""Acipenser persicus"""
Acipenser ruthenus,Sterlet sturgeon,Acipenseridae,"""Acipenser ruthenus"""
Acipenser schrenckii,Amur sturgeon,Acipenseridae,"""Acipenser schrenckii"""
Acipenser sinensis,Chinese sturgeon,Acipenseridae,"""Acipenser sinensis"""
Acipenser stellatus,Starry sturgeon,Acipenseridae,"""Acipenser stellatus"""
Acipenser sturio,Sturgeon,Acipenseridae,"""Acipenser sturio"""
Acipenser transmontanus,White sturgeon,Acipenseridae,"""Acipenser transmontanus"""
Acreichthys tomentosus,Bristle-tail file-fish,Monacanthidae,"""Acreichthys tomentosus"""
Acroteriobatus annulatus,Lesser sandshark,Rhinobatidae,"""Acroteriobatus annulatus"""
Acyrtops beryllinus,Emerald clingfish,Gobiesocidae,"""Acyrtops beryllinus"""
Aethotaxis mitopteryx,Longfin icedevil,Nototheniidae,"""Aethotaxis mitopteryx"""
Agamyxis albomaculatus,Spiny cat-fish,Doradidae,"""Agamyxis albomaculatus"""
Ageneiosus militaris,,Auchenipteridae,"""Ageneiosus militaris"""
Ageneiosus pardalis,,Auchenipteridae,"""Ageneiosus pardalis"""
Ageneiosus ucayalensis,,Auchenipteridae,"""Ageneiosus ucayalensis"""
Agonus cataphractus,Hooknose,Agonidae,"""Agonus cataphractus"""
Ailia coila,Gangetic ailia,Ailiidae,"""Ailia coila"""
Albatrossia pectoralis,Giant grenadier,Macrouridae,"""Albatrossia pectoralis"""
Albula glossodonta,Roundjaw bonefish,Albulidae,"""Albula glossodonta"""
Albula vulpes,Bonefish,Albulidae,"""Albula vulpes"""
Alburnoides bipunctatus,Schneider,Leuciscidae,"""Alburnoides bipunctatus"""
Alburnoides eichwaldii,Kura chub,Leuciscidae,"""Alburnoides eichwaldii"""
Alburnoides namaki,,Leuciscidae,"""Alburnoides namaki"""
Alburnoides qanati,,Leuciscidae,"""Alburnoides qanati"""
Alburnoides tabarestanensis,Tabarestan riffle minnow,Leuciscidae,"""Alburnoides tabarestanensis"""
