Sample,Species,Area,Sex,Length,Read1
1,test,1,F,32.2479499,10.06745695
2,test,1,F,33.14023757,9.033493466
3,test,1,F,41.84479752,14.38197774
4,test,1,F,33.60481275,13.34057632
5,test,1,F,34.96866057,10.16511509
6,test,1,F,28.78248857,12.58417625
7,test,1,F,41.99310589,13.3069762
8,test,1,F,30.97357663,8.254897683
9,test,1,F,32.12103494,8.944693919
10,test,1,F,42.51920824,13.4690501
11,test,1,F,40.98036989,11.14613424
12,test,1,F,37.2954978,9.23329009
13,test,1,F,29.52614031,8.306477507
14,test,1,F,33.98219855,8.094690302
15,test,1,F,33.00206652,9.913499113
16,test,1,F,42.44022229,13.69815697
17,test,1,F,34.23835499,8.287615302
18,test,1,F,39.28902195,13.30688288
19,test,1,F,38.48499712,12.29659943
20,test,1,F,33.15973705,8.885674066
21,test,1,F,36.44182479,13.18834133
22,test,1,F,38.41359374,8.802860515
23,test,1,F,36.04725273,10.14110556
24,test,1,F,34.26480011,14.53655008
25,test,1,F,34.37117616,10.26799542
26,test,1,F,35.28955824,11.04275944
27,test,1,F,35.68199916,12.69584696
28,test,1,F,31.84506232,10.90540285
29,test,1,F,30.97373663,9.281949092
30,test,1,F,31.55035431,8.333114767
31,test,1,F,40.17370939,13.80079611
32,test,1,F,34.38261943,8.079525466
33,test,1,F,34.05434896,10.16326442
34,test,1,F,35.79131962,10.9949249
35,test,1,F,41.52515476,12.19923298
36,test,1,F,32.01883307,9.652223103
37,test,1,F,37.2898762,13.57689416
38,test,1,F,30.42450295,10.20883753
39,test,1,F,36.24207899,8.727928334
40,test,1,F,40.47183577,13.31103262
41,test,1,F,36.77813855,10.41463783
42,test,1,F,38.45121276,12.42747553
43,test,1,F,37.65444588,10.79770678
44,test,1,F,30.22018835,9.284303691
45,test,1,F,37.78353607,13.0715257
46,test,1,F,35.33882034,13.52296874
47,test,1,F,30.18050289,9.141917186
48,test,1,F,40.93737819,11.32663421
49,test,1,F,36.69751601,12.87857747
50,test,1,F,45.33069051,12.17825965
51,test,1,F,38.68144195,14.72822711
52,test,1,F,38.61476997,11.7087648
53,test,1,F,36.66127337,11.07005402
54,test,1,F,39.49500429,10.80483655
55,test,1,F,29.28865012,11.66106721
56,test,1,F,31.35670016,8.245858274
57,test,1,F,42.59507295,13.5006384
58,test,1,F,32.12980086,10.7051231
59,test,1,F,37.26030744,9.575215041
60,test,1,F,49.2391488,13.22789395
61,test,1,F,30.53788638,8.087006134
62,test,1,F,33.57165988,9.368212956
63,test,1,F,34.95255129,9.068295066
64,test,1,F,37.01079257,12.15041528
65,test,1,F,39.48004965,10.97529773
66,test,1,F,35.59965961,9.116175305
67,test,1,F,34.97076703,8.432105153
68,test,1,F,33.45339458,8.792950252
69,test,1,F,33.41443217,9.23952181
70,test,1,F,29.1283946,8.322239068
71,test,1,F,35.84736484,8.699122357
72,test,1,F,43.57033685,13.89640084
73,test,1,F,37.89785558,11.71622827
74,test,1,F,32.73129515,8.520741701
75,test,1,F,35.96578714,9.058477652
76,test,1,F,40.62535314,12.63078483
77,test,1,F,32.43965916,11.69716371
78,test,1,F,34.13754578,11.23171502
79,test,1,F,34.32768903,9.117718534
80,test,1,F,38.6065165,11.17351374
81,test,1,F,43.35952951,10.96333957
82,test,1,F,37.44853907,13.87683115
83,test,1,F,34.24612392,13.07403413
84,test,1,F,32.91103464,8.049625054
85,test,1,F,29.26720381,9.117512679
86,test,1,F,40.08809045,14.42341113
87,test,1,F,38.6992471,10.87726047
88,test,1,F,36.7991165,12.00846564
89,test,1,F,35.44362783,10.68382472
90,test,1,F,40.9359875,10.9599425
91,test,1,F,40.46648154,11.39664411
92,test,1,F,30.04350088,8.044730722
93,test,1,F,39.92699918,11.79001207
94,test,1,F,39.46623311,13.45087579
95,test,1,F,45.42683986,13.6654144
96,test,1,F,31.19757062,10.49645402
97,test,1,F,32.42560105,9.415105726
98,test,1,F,29.30852571,9.019192979
99,test,1,F,34.23581639,9.024246313
100,test,1,F,34.00076125,9.912393949
